title,description,pubdate
New Year's Eve: World celebrates arrival of 2023,The Pacific nation of Kiribati was the first to see in the new year - followed by New Zealand.,"Sat, 31 Dec 2022 21:57:25 GMT"
How a secret message in a Colombian song gave hostages hope,"When the pop song Better Days was released in 2010, it contained a secret message hidden in the catchy tune.","Sun, 01 Jan 2023 00:43:58 GMT"
Love at first fight: The re-enactors who find romance,Who needs online dating apps when you can meet eligible partners at the tip of a sword?,"Sun, 01 Jan 2023 01:02:37 GMT"
Sound Of 2023: Earthquaking soul band Gabriels tipped for success,The soul-quaking sounds of Gabriels have earned the band fifth place in Radio 1's Sound Of 2023 list.,"Sun, 01 Jan 2023 01:08:51 GMT"
Ukraine war: Ballerinas fight culture war against Russia,The United Ukrainian Ballet represent the country's cultural frontline against the Russian invasion.,"Sun, 01 Jan 2023 01:12:30 GMT"
Czechoslovakia: Czechs and Slovaks mark 30 years since Velvet Divorce,"Thirty years since their break-up, Slovakia and the Czech Republic have a harmonious relationship.","Sun, 01 Jan 2023 01:15:04 GMT"
Benedict: The pope who resigned from the papacy,"Obituary of Benedict XVI, a conservative figure who became the first pope to stand down in 600 years.","Sat, 31 Dec 2022 10:02:29 GMT"
The Big Eurovision Party: Rylan to bring in 2023 with song contest stars,Memorable acts from the song contest's history performed at a special concert in The Netherlands.,"Sat, 31 Dec 2022 14:53:21 GMT"
Pelé: Why black Brazilians like me mourn the king,Pelé won his first World Cup only 70 years after slavery was finally abolished in Brazil.,"Fri, 30 Dec 2022 21:38:30 GMT"
Photographers pick their top shots of the year,Press Association photographers reflect on their best images from the past year.,"Sat, 31 Dec 2022 02:29:31 GMT"
Do restrictions on travel work against Covid?,Is there evidence that travel restrictions help stop the spread of coronavirus?,"Fri, 30 Dec 2022 20:27:24 GMT"
Mikel Arteta plays down Arsenal's title hopes despite seven-point lead at New Year,"Mikel Arteta and Bukayo Saka insist Arsenal are not getting carried away, despite leading the league by seven points at the end of 2022.","Sat, 31 Dec 2022 21:33:57 GMT"
2023 sporting calendar: The year's main events from Women's World Cup football to Ashes series and men's rugby union World Cup,The 2023 sporting calendar features World Cups in women's football and men's rugby union as well as men's and women's Ashes cricket series and the Ryder Cup.,"Sat, 31 Dec 2022 09:59:21 GMT"
Manchester City 1-1 Everton: Demarai Gray cancels out Erling Haaland opener,Demarai Gray's stunner cancels out Erling Haaland's opener as Manchester City draw with Everton in a fractious Premier League affair.,"Sat, 31 Dec 2022 20:16:01 GMT"
Match of the Day analysis: Marcus Rashford shines for Manchester United off bench after being dropped,Match of the Day pundits Alan Shearer and Danny Murphy analyse Marcus Rashford's performance at Wolves after he was dropped to the bench for internal disciplinary reasons.,"Sun, 01 Jan 2023 00:00:30 GMT"
United Cup: Cameron Norrie beats Rafael Nadal as Britain go 2-0 up over Spain,Cameron Norrie beats Rafael Nadal for the first time before Katie Swan sees off Nuria Parrizas-Diaz in the United Cup.,"Sat, 31 Dec 2022 11:35:02 GMT"
Newcastle United 0-0 Leeds United: Magpies held but end 2022 third in table,"Eddie Howe says 2022 has been a ""year of real progress"" after Newcastle end it third in the table despite being held to a draw by Leeds.","Sat, 31 Dec 2022 18:29:59 GMT"
Premiership: Saracens 35-3 Exeter Chiefs - Leaders earn bonus-point win,Saracens earn a comprehensive victory over rivals Exeter to take their lead at top of the Premiership back to 10 points.,"Sat, 31 Dec 2022 17:29:39 GMT"
Prince Harry's Spare to kick off book bonanza,Join us as we lift the curtain on some of the most anticipated books coming our way next year.,"Tue, 27 Dec 2022 02:11:22 GMT"
Television highlights to look out for next year,"Doctor Who, a 007 global contest and the return of Waterloo Road are among next year's TV treats.","Mon, 26 Dec 2022 00:51:07 GMT"
23 films coming out in 2023,From Oscars hopefuls such as The Fabelmans to crowd-pleasers like the Barbie movie.,"Sun, 25 Dec 2022 00:41:13 GMT"
"New Year Honours 2023: Pat Jennings, Dara McAnulty and John Bennett on NI list",Dara McAnulty and Pat Jennings are among those from Northern Ireland on the New Year Honours list.,"Fri, 30 Dec 2022 23:36:11 GMT"
New Year Honours 2023: Brian May and Lionesses on list,The Queen guitarist is knighted in a list that also celebrates the Lionesses' Euro 2022 victory.,"Fri, 30 Dec 2022 22:50:08 GMT"
New Year Honours 2023: Grayson Perry and Brian May lead cultural roll call,Artist Grayson Perry and Queen's Brian May are among the cultural figures in the New Year Honours.,"Fri, 30 Dec 2022 22:30:04 GMT"
Lionesses recognised as Denise Lewis made dame,England players Leah Williamson and Beth Mead and former Olympic heptathlon champion Denise Lewis are among those recognised in the New Year's Honours,"Sat, 31 Dec 2022 11:56:40 GMT"
Knighthoods for MPs who caused Boris Johnson headaches,Chris Bryant and Julian Lewis are among the political figures recognised in the New Year Honours list.,"Fri, 30 Dec 2022 23:16:33 GMT"
New Year Honours 2023: Scotland footballers named on list,"Business leaders, a master distiller and a Beano illustrator are among those recognised by the King.","Fri, 30 Dec 2022 22:30:59 GMT"
